Date,ROWL.JLR1_LEVEL.F_CV,ROWL.JLR2_LEVEL.F_CV,ROWL.LHHW_LM_LEVEL.F_CV,ROWL.LHHW_LY_LEVEL.F_CV,ROWL.LHHW_R9_LEVEL.F_CV,ROWL.NOGALESLS_LEVEL.F_CV,ROWL.RS01_LEVEL.F_CV,ROWL.RS02_LEVEL.F_CV,ROWL.RS03_LEVEL.F_CV,ROWL.RS04_LEVEL.F_CV,ROWL.RS05_LEVEL.F_CV,ROWL.RS06_LEVEL.F_CV,ROWL.RS07_LEVEL.F_CV,ROWL.RS08_LEVEL.F_CV,ROWL.RS10_LEVEL.F_CV,ROWL.RS11_LEVEL.F_CV,ROWL.RS12_LEVEL.F_CV,ROWL.RS13_LEVEL.F_CV,ROWL.RS14_LEVEL.F_CV,ROWL.RS15_LEVEL.F_CV,ROWL.RS16_LEVEL.F_CV,ROWL.RS2A_TANK_LEVEL.F_CV,ROWL.RS9_LEVEL.F_CV,ROWL.WELL1_LEVEL.F_CV,ROWL.WELL1WW_LEVEL.F_CV
10/17/21,20.06200027,20.1779995,0,0,0,0,14.42755985,17.3239994,3.969787121,18.86000061,14.32796955,15.48600006,21.69955063,22.67368507,17.37000084,24.02799988,22.74448776,17.54665375,21.82162285,22.3367672,16.89999962,21.01124954,-0.449999988,17.63750076,6.661412716
10/17/21 0:05,20.03000069,20.1439991,0,0,0,0,14.46869469,17.3579998,3.967345715,18.86800003,14.36910534,15.54399967,21.69222641,22.66147804,17.36199951,24.03000069,22.73228073,17.54665375,21.80208969,22.32211876,16.92399979,20.86499977,-0.449999988,18,6.672948837
10/17/21 0:10,19.99600029,20.11599922,0,0,0,0,14.50333405,17.38199997,3.969787121,18.86800003,14.41456985,15.60400009,21.66048622,22.65415382,17.35400009,24.02599907,22.72251511,17.54421234,21.78011703,22.30746841,16.94199944,20.71062469,-0.451999992,18.44999886,6.649876118
10/17/21 0:15,19.9640007,20.07600021,0,0,0,0,14.53797531,17.40800095,3.969787121,18.86800003,14.45137501,15.67599964,21.6507206,22.64194679,17.34799957,24.02799988,22.71274948,17.53444672,21.77035141,22.29281998,16.95599937,20.56437492,-0.451999992,18.41250038,6.649876118
10/17/21 0:20,19.93199921,20.04400063,0,0,0,0,14.57477951,17.43199921,3.967345715,18.87199974,14.47951984,15.72200012,21.64339638,22.62973976,17.33799934,24.02599907,22.70786667,17.52468109,21.75814438,22.27817154,16.97200012,20.39374924,-0.453999996,17.92499924,6.658528328
10/17/21 0:25,19.89599991,20.01399994,0,0,0,0,14.60941982,17.45599937,3.967345715,18.87000084,14.52498531,15.77600002,21.62142372,22.62241554,17.32999992,24.02199936,22.69077682,17.52223969,21.75326157,22.26596451,16.99399948,20.26375008,-0.451999992,19.5625,6.644108295
10/17/21 0:30,19.86800003,19.98200035,0,0,0,0,14.65055561,17.48200035,3.969787121,18.87999916,14.56178951,15.81999969,21.6140995,22.60776711,17.32600021,24.02400017,22.68589211,17.51979828,21.73861313,22.25375748,17.01199913,20.109375,-0.453999996,18.42499924,6.649876118
10/17/21 0:35,19.83200073,19.94799995,0,0,0,0,14.68952465,17.50799942,3.967345715,18.87999916,14.59426498,15.8920002,21.60677528,22.60044289,17.3239994,24.02400017,22.67368507,17.51491547,21.73617172,22.23910904,17.0359993,19.97937584,-0.451999992,19.16250038,6.658528328
10/17/21 0:40,19.80200005,19.91200066,0,0,0,0,14.73065948,17.5340004,3.964904308,18.88800049,14.64622402,15.9460001,21.58968544,22.59067726,17.31200027,24.02199936,22.66636086,17.51003265,21.72396469,22.23178482,17.05599976,19.83312416,-0.451999992,17.4375,6.638339996
10/17/21 0:45,19.76799965,19.87599945,0,0,0,0,14.76962948,17.56399918,3.967345715,18.89999962,14.67436981,16.00799942,21.57991982,22.58579445,17.30599976,24.02400017,22.66147804,17.51003265,21.71419907,22.21713638,17.07999992,19.6868763,-0.453999996,19.22500038,6.655644417
