Date,ROWL.JLR1_LEVEL.F_CV
10/17/21 0:00,20.06200027
10/17/21 0:05,20.03000069
10/17/21 0:10,19.99600029
10/17/21 0:15,19.9640007
10/17/21 0:20,19.93199921
10/17/21 0:25,19.89599991
10/17/21 0:30,19.86800003
10/17/21 0:35,19.83200073
10/17/21 0:40,19.80200005
10/17/21 0:45,19.76799965
10/17/21 0:50,19.73600006
10/17/21 0:55,19.70000076
10/17/21 1:00,19.66799927
10/17/21 1:05,19.63599968
10/17/21 1:10,19.60199928
10/17/21 1:15,19.56999969
10/17/21 1:20,19.5359993
10/17/21 1:25,19.50200081
10/17/21 1:30,19.46999931
10/17/21 1:35,19.43400002
10/17/21 1:40,19.40399933
10/17/21 1:45,19.37000084
10/17/21 1:50,19.33600044
10/17/21 1:55,19.30400085
10/17/21 2:00,19.26600075
10/17/21 2:05,19.23399925
10/17/21 2:10,19.19799995
10/17/21 2:15,19.16399956
10/17/21 2:20,19.12999916
10/17/21 2:25,19.09799957
10/17/21 2:30,19.06599998
10/17/21 2:35,19.0340004
10/17/21 2:40,19.00200081
10/17/21 2:45,18.96999931
10/17/21 2:50,18.93799973
10/17/21 2:55,18.90800095
10/17/21 3:00,18.87599945
10/17/21 3:05,18.84199905
10/17/21 3:10,18.80999947
10/17/21 3:15,18.77599907
10/17/21 3:20,18.73800087
10/17/21 3:25,18.70800018
10/17/21 3:30,18.67399979
10/17/21 3:35,18.63999939
10/17/21 3:40,18.6060009
10/17/21 3:45,18.5739994
10/17/21 3:50,18.54199982
10/17/21 3:55,18.50799942
10/17/21 4:00,18.47800064
10/17/21 4:05,18.44199944
10/17/21 4:10,18.41200066
10/17/21 4:15,18.37599945
10/17/21 4:20,18.34399986
10/17/21 4:25,18.30999947
10/17/21 4:30,18.27599907
10/17/21 4:35,18.24600029
10/17/21 4:40,18.20999908
10/17/21 4:45,18.1779995
10/17/21 4:50,18.1420002
10/17/21 4:55,18.11400032
10/17/21 5:00,18.07999992
10/17/21 5:05,18.04400063
10/17/21 5:10,18.00600052
10/17/21 5:15,17.97400093
10/17/21 5:20,17.94000053
10/17/21 5:25,17.90200043
10/17/21 5:30,17.87199974
10/17/21 5:35,17.82799911
10/17/21 5:40,17.79599953
10/17/21 5:45,17.76000023
10/17/21 5:50,17.72999954
10/17/21 5:55,17.69400024
10/17/21 6:00,17.66399956
10/17/21 6:05,17.62800026
10/17/21 6:10,17.59799957
10/17/21 6:15,17.55800056
10/17/21 6:20,17.53199959
10/17/21 6:25,17.49399948
10/17/21 6:30,17.45999908
10/17/21 6:35,17.4260006
10/17/21 6:40,17.39800072
